
class,f1_score,precision,recall,support
4,0.917,0.937,0.897,400.0
class,f1_score,precision,recall,support
1,0.886,0.919,0.855,400.0
2,0.871,0.828,0.917,400.0
3,0.96,0.932,0.99,400.0
4,0.876,0.925,0.833,400.0
class,f1_score,precision,recall,support
1,0.881,0.874,0.887,400.0
2,0.847,0.807,0.89,400.0
3,0.943,0.913,0.975,400.0
4,0.857,0.954,0.777,400.0
class,f1_score,precision,recall,support
1,0.907,0.941,0.875,400.0
2,0.9,0.861,0.943,400.0
3,0.96,0.949,0.973,400.0
4,0.915,0.939,0.892,400.0
class,f1_score,precision,recall,support
1,0.891,0.922,0.863,400.0
2,0.867,0.82,0.92,400.0
3,0.959,0.93,0.99,400.0
4,0.858,0.917,0.805,400.0
class,f1_score,precision,recall,support
1,0.899,0.908,0.89,400.0
2,0.872,0.821,0.93,400.0
3,0.943,0.956,0.93,400.0
4,0.888,0.929,0.85,400.0
class,f1_score,precision,recall,support
1,0.904,0.933,0.877,4000.0
2,0.887,0.851,0.927,4000.0
3,0.957,0.934,0.98,4000.0
4,0.896,0.934,0.861,4000.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.365,0.762,0.24,400.0
2,0.555,0.558,0.552,400.0
3,0.381,0.312,0.49,400.0
4,0.464,0.438,0.492,400.0
class,f1_score,precision,recall,support
1,0.365,0.762,0.24,400.0
2,0.555,0.558,0.552,400.0
3,0.381,0.312,0.49,400.0
4,0.464,0.438,0.492,400.0
class,f1_score,precision,recall,support
1,0.477,0.813,0.338,400.0
2,0.643,0.692,0.6,400.0
3,0.438,0.394,0.492,400.0
4,0.509,0.428,0.627,400.0
class,f1_score,precision,recall,support
1,0.477,0.897,0.325,400.0
2,0.612,0.596,0.63,400.0
3,0.453,0.418,0.495,400.0
4,0.58,0.498,0.695,400.0
class,f1_score,precision,recall,support
1,0.501,0.914,0.345,400.0
2,0.684,0.755,0.625,400.0
3,0.458,0.426,0.495,400.0
4,0.549,0.443,0.723,400.0
class,f1_score,precision,recall,support
1,0.491,0.937,0.333,400.0
2,0.69,0.731,0.652,400.0
3,0.426,0.379,0.487,400.0
4,0.538,0.452,0.662,400.0
class,f1_score,precision,recall,support
1,0.495,0.907,0.34,400.0
2,0.612,0.593,0.632,400.0
3,0.394,0.328,0.492,400.0
4,0.595,0.579,0.613,400.0
class,f1_score,precision,recall,support
1,0.515,0.86,0.367,400.0
2,0.669,0.769,0.593,400.0
3,0.413,0.356,0.492,400.0
4,0.533,0.454,0.645,400.0
class,f1_score,precision,recall,support
1,0.495,0.873,0.345,400.0
2,0.605,0.571,0.642,400.0
3,0.419,0.37,0.485,400.0
4,0.581,0.54,0.63,400.0
class,f1_score,precision,recall,support
1,0.505,0.939,0.345,400.0
2,0.602,0.587,0.618,400.0
3,0.42,0.365,0.495,400.0
4,0.587,0.534,0.652,400.0
class,f1_score,precision,recall,support
1,0.455,0.76,0.325,400.0
2,0.613,0.627,0.6,400.0
3,0.418,0.367,0.485,400.0
4,0.51,0.453,0.585,400.0
class,f1_score,precision,recall,support
1,0.519,0.88,0.367,400.0
2,0.665,0.745,0.6,400.0
3,0.429,0.378,0.495,400.0
4,0.533,0.448,0.657,400.0
class,f1_score,precision,recall,support
1,0.493,0.875,0.343,4000.0
2,0.638,0.657,0.619,4000.0
3,0.426,0.376,0.491,4000.0
4,0.55,0.478,0.649,4000.0
class,f1_score,precision,recall,support
1,0.477,0.813,0.338,400.0
2,0.643,0.692,0.6,400.0
3,0.438,0.394,0.492,400.0
4,0.509,0.428,0.627,400.0
class,f1_score,precision,recall,support
1,0.474,0.914,0.32,400.0
2,0.611,0.597,0.625,400.0
3,0.452,0.416,0.495,400.0
4,0.582,0.497,0.703,400.0
class,f1_score,precision,recall,support
1,0.496,0.938,0.338,400.0
2,0.681,0.752,0.623,400.0
3,0.424,0.371,0.495,400.0
4,0.548,0.459,0.68,400.0
class,f1_score,precision,recall,support
1,0.442,0.862,0.297,400.0
2,0.655,0.683,0.63,400.0
3,0.423,0.375,0.485,400.0
4,0.504,0.427,0.615,400.0
class,f1_score,precision,recall,support
1,0.5,0.908,0.345,400.0
2,0.636,0.648,0.625,400.0
3,0.393,0.327,0.492,400.0
4,0.568,0.532,0.61,400.0
class,f1_score,precision,recall,support
1,0.482,0.892,0.33,400.0
2,0.604,0.61,0.598,400.0
3,0.407,0.347,0.492,400.0
4,0.576,0.521,0.642,400.0
class,f1_score,precision,recall,support
1,0.495,0.873,0.345,400.0
2,0.605,0.571,0.642,400.0
3,0.419,0.37,0.485,400.0
4,0.581,0.54,0.63,400.0
class,f1_score,precision,recall,support
1,0.505,0.939,0.345,400.0
2,0.602,0.587,0.618,400.0
3,0.42,0.365,0.495,400.0
4,0.587,0.534,0.652,400.0
class,f1_score,precision,recall,support
1,0.428,0.776,0.295,400.0
2,0.622,0.663,0.585,400.0
3,0.41,0.355,0.485,400.0
4,0.497,0.43,0.59,400.0
class,f1_score,precision,recall,support
1,0.5,0.926,0.343,400.0
2,0.681,0.796,0.595,400.0
3,0.453,0.417,0.495,400.0
4,0.534,0.425,0.72,400.0
class,f1_score,precision,recall,support
1,0.48,0.883,0.33,4000.0
2,0.632,0.652,0.614,4000.0
3,0.423,0.372,0.491,4000.0
4,0.547,0.474,0.647,4000.0
class,f1_score,precision,recall,support
1,0.316,0.659,0.207,400.0
2,0.469,0.468,0.47,400.0
3,0.468,0.459,0.477,400.0
4,0.443,0.357,0.585,400.0
class,f1_score,precision,recall,support
1,0.316,0.659,0.207,400.0
2,0.469,0.468,0.47,400.0
3,0.468,0.459,0.477,400.0
4,0.443,0.357,0.585,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.721,0.795,0.66,400.0
2,0.723,0.66,0.8,400.0
3,0.916,0.857,0.985,400.0
4,0.719,0.805,0.65,400.0
class,f1_score,precision,recall,support
1,0.721,0.795,0.66,400.0
2,0.723,0.66,0.8,400.0
3,0.916,0.857,0.985,400.0
4,0.719,0.805,0.65,400.0
class,f1_score,precision,recall,support
1,0.137,0.412,0.083,400.0
2,0.298,0.449,0.223,400.0
3,0.067,0.077,0.06,400.0
4,0.361,0.252,0.635,400.0
class,f1_score,precision,recall,support
1,0.137,0.412,0.083,400.0
2,0.298,0.449,0.223,400.0
3,0.067,0.077,0.06,400.0
4,0.361,0.252,0.635,400.0
class,f1_score,precision,recall,support
1,0.721,0.795,0.66,400.0
2,0.723,0.66,0.8,400.0
3,0.916,0.857,0.985,400.0
4,0.719,0.805,0.65,400.0
class,f1_score,precision,recall,support
1,0.721,0.795,0.66,400.0
2,0.723,0.66,0.8,400.0
3,0.916,0.857,0.985,400.0
4,0.719,0.805,0.65,400.0
class,f1_score,precision,recall,support
1,0.721,0.795,0.66,400.0
2,0.723,0.66,0.8,400.0
3,0.916,0.857,0.985,400.0
4,0.719,0.805,0.65,400.0
class,f1_score,precision,recall,support
1,0.721,0.795,0.66,400.0
2,0.723,0.66,0.8,400.0
3,0.916,0.857,0.985,400.0
4,0.719,0.805,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.766,0.839,0.705,400.0
2,0.753,0.687,0.833,400.0
3,0.914,0.846,0.993,400.0
4,0.732,0.839,0.65,400.0
class,f1_score,precision,recall,support
1,0.798,0.859,0.745,400.0
2,0.799,0.739,0.87,400.0
3,0.96,0.928,0.995,400.0
4,0.805,0.858,0.757,400.0
class,f1_score,precision,recall,support
1,0.886,0.931,0.845,400.0
2,0.863,0.829,0.9,400.0
3,0.958,0.925,0.993,400.0
4,0.871,0.901,0.843,400.0
class,f1_score,precision,recall,support
1,0.911,0.946,0.877,400.0
2,0.894,0.864,0.925,400.0
3,0.956,0.933,0.98,400.0
4,0.901,0.924,0.88,400.0
class,f1_score,precision,recall,support
1,0.917,0.957,0.88,400.0
2,0.907,0.876,0.94,400.0
3,0.966,0.945,0.988,400.0
4,0.927,0.945,0.91,400.0
class,f1_score,precision,recall,support
1,0.916,0.937,0.895,400.0
2,0.906,0.876,0.938,400.0
3,0.973,0.952,0.995,400.0
4,0.909,0.944,0.877,400.0
class,f1_score,precision,recall,support
1,0.883,0.908,0.86,400.0
2,0.867,0.832,0.905,400.0
3,0.952,0.917,0.99,400.0
4,0.875,0.932,0.825,400.0
class,f1_score,precision,recall,support
1,0.884,0.926,0.845,400.0
2,0.869,0.816,0.93,400.0
3,0.956,0.938,0.975,400.0
4,0.883,0.928,0.843,400.0
class,f1_score,precision,recall,support
1,0.913,0.939,0.887,400.0
2,0.905,0.88,0.932,400.0
3,0.965,0.941,0.99,400.0
4,0.919,0.947,0.892,400.0
class,f1_score,precision,recall,support
1,0.918,0.952,0.887,400.0
2,0.892,0.873,0.912,400.0
3,0.948,0.912,0.988,400.0
4,0.897,0.926,0.87,400.0
class,f1_score,precision,recall,support
1,0.915,0.944,0.887,400.0
2,0.899,0.859,0.943,400.0
3,0.969,0.961,0.978,400.0
4,0.91,0.937,0.885,400.0
class,f1_score,precision,recall,support
1,0.894,0.93,0.861,4000.0
2,0.88,0.843,0.919,4000.0
3,0.96,0.935,0.987,4000.0
4,0.89,0.925,0.858,4000.0
class,f1_score,precision,recall,support
1,0.915,0.947,0.885,400.0
2,0.895,0.876,0.915,400.0
3,0.948,0.912,0.988,400.0
4,0.908,0.939,0.88,400.0
class,f1_score,precision,recall,support
1,0.921,0.954,0.89,400.0
2,0.9,0.89,0.91,400.0
3,0.948,0.903,0.998,400.0
4,0.902,0.931,0.875,400.0
class,f1_score,precision,recall,support
1,0.909,0.948,0.873,400.0
2,0.909,0.873,0.948,400.0
3,0.968,0.956,0.98,400.0
4,0.916,0.93,0.902,400.0
class,f1_score,precision,recall,support
1,0.92,0.967,0.877,400.0
2,0.913,0.874,0.955,400.0
3,0.967,0.947,0.988,400.0
4,0.92,0.94,0.9,400.0
class,f1_score,precision,recall,support
1,0.915,0.956,0.877,400.0
2,0.904,0.87,0.94,400.0
3,0.971,0.95,0.993,400.0
4,0.917,0.937,0.897,400.0
class,f1_score,precision,recall,support
1,0.886,0.919,0.855,400.0
2,0.871,0.828,0.917,400.0
3,0.96,0.932,0.99,400.0
4,0.876,0.925,0.833,400.0
class,f1_score,precision,recall,support
1,0.881,0.874,0.887,400.0
2,0.847,0.807,0.89,400.0
3,0.943,0.913,0.975,400.0
4,0.857,0.954,0.777,400.0
class,f1_score,precision,recall,support
1,0.907,0.941,0.875,400.0
2,0.9,0.861,0.943,400.0
3,0.96,0.949,0.973,400.0
4,0.915,0.939,0.892,400.0
class,f1_score,precision,recall,support
1,0.891,0.922,0.863,400.0
2,0.867,0.82,0.92,400.0
3,0.959,0.93,0.99,400.0
4,0.858,0.917,0.805,400.0
class,f1_score,precision,recall,support
1,0.899,0.908,0.89,400.0
2,0.872,0.821,0.93,400.0
3,0.943,0.956,0.93,400.0
4,0.888,0.929,0.85,400.0
class,f1_score,precision,recall,support
1,0.915,0.947,0.885,400.0
2,0.895,0.876,0.915,400.0
3,0.948,0.912,0.988,400.0
4,0.908,0.939,0.88,400.0
class,f1_score,precision,recall,support
1,0.921,0.954,0.89,400.0
2,0.9,0.89,0.91,400.0
3,0.948,0.903,0.998,400.0
4,0.902,0.931,0.875,400.0
class,f1_score,precision,recall,support
1,0.909,0.948,0.873,400.0
2,0.909,0.873,0.948,400.0
3,0.968,0.956,0.98,400.0
4,0.916,0.93,0.902,400.0
class,f1_score,precision,recall,support
1,0.92,0.967,0.877,400.0
2,0.913,0.874,0.955,400.0
3,0.967,0.947,0.988,400.0
4,0.92,0.94,0.9,400.0
class,f1_score,precision,recall,support
1,0.915,0.956,0.877,400.0
2,0.904,0.87,0.94,400.0
3,0.971,0.95,0.993,400.0
4,0.917,0.937,0.897,400.0
class,f1_score,precision,recall,support
1,0.886,0.919,0.855,400.0
2,0.871,0.828,0.917,400.0
3,0.96,0.932,0.99,400.0
4,0.876,0.925,0.833,400.0
class,f1_score,precision,recall,support
1,0.881,0.874,0.887,400.0
2,0.847,0.807,0.89,400.0
3,0.943,0.913,0.975,400.0
4,0.857,0.954,0.777,400.0
class,f1_score,precision,recall,support
1,0.907,0.941,0.875,400.0
2,0.9,0.861,0.943,400.0
3,0.96,0.949,0.973,400.0
4,0.915,0.939,0.892,400.0
class,f1_score,precision,recall,support
1,0.891,0.922,0.863,400.0
2,0.867,0.82,0.92,400.0
3,0.959,0.93,0.99,400.0
4,0.858,0.917,0.805,400.0
class,f1_score,precision,recall,support
1,0.899,0.908,0.89,400.0
2,0.872,0.821,0.93,400.0
3,0.943,0.956,0.93,400.0
4,0.888,0.929,0.85,400.0
class,f1_score,precision,recall,support
1,0.904,0.933,0.877,4000.0
2,0.887,0.851,0.927,4000.0
3,0.957,0.934,0.98,4000.0
4,0.896,0.934,0.861,4000.0
class,f1_score,precision,recall,support
1,0.915,0.947,0.885,400.0
2,0.895,0.876,0.915,400.0
3,0.948,0.912,0.988,400.0
4,0.908,0.939,0.88,400.0
class,f1_score,precision,recall,support
1,0.921,0.954,0.89,400.0
2,0.9,0.89,0.91,400.0
3,0.948,0.903,0.998,400.0
4,0.902,0.931,0.875,400.0
class,f1_score,precision,recall,support
1,0.909,0.948,0.873,400.0
2,0.909,0.873,0.948,400.0
3,0.968,0.956,0.98,400.0
4,0.916,0.93,0.902,400.0
class,f1_score,precision,recall,support
1,0.92,0.967,0.877,400.0
2,0.913,0.874,0.955,400.0
3,0.967,0.947,0.988,400.0
4,0.92,0.94,0.9,400.0
class,f1_score,precision,recall,support
1,0.915,0.956,0.877,400.0
2,0.904,0.87,0.94,400.0
3,0.971,0.95,0.993,400.0
4,0.917,0.937,0.897,400.0
class,f1_score,precision,recall,support
1,0.886,0.919,0.855,400.0
2,0.871,0.828,0.917,400.0
3,0.96,0.932,0.99,400.0
4,0.876,0.925,0.833,400.0
class,f1_score,precision,recall,support
1,0.881,0.874,0.887,400.0
2,0.847,0.807,0.89,400.0
3,0.943,0.913,0.975,400.0
4,0.857,0.954,0.777,400.0
class,f1_score,precision,recall,support
1,0.907,0.941,0.875,400.0
2,0.9,0.861,0.943,400.0
3,0.96,0.949,0.973,400.0
4,0.915,0.939,0.892,400.0
class,f1_score,precision,recall,support
1,0.891,0.922,0.863,400.0
2,0.867,0.82,0.92,400.0
3,0.959,0.93,0.99,400.0
4,0.858,0.917,0.805,400.0
class,f1_score,precision,recall,support
1,0.899,0.908,0.89,400.0
2,0.872,0.821,0.93,400.0
3,0.943,0.956,0.93,400.0
4,0.888,0.929,0.85,400.0
class,f1_score,precision,recall,support
1,0.904,0.933,0.877,4000.0
2,0.887,0.851,0.927,4000.0
3,0.957,0.934,0.98,4000.0
4,0.896,0.934,0.861,4000.0
class,f1_score,precision,recall,support
1,0.912,0.932,0.892,400.0
2,0.886,0.857,0.917,400.0
3,0.948,0.916,0.983,400.0
4,0.9,0.95,0.855,400.0
class,f1_score,precision,recall,support
1,0.871,0.942,0.81,400.0
2,0.848,0.819,0.88,400.0
3,0.912,0.846,0.99,400.0
4,0.823,0.872,0.78,400.0
class,f1_score,precision,recall,support
1,0.911,0.951,0.875,400.0
2,0.905,0.88,0.932,400.0
3,0.965,0.936,0.995,400.0
4,0.909,0.93,0.89,400.0
class,f1_score,precision,recall,support
1,0.874,0.918,0.835,400.0
2,0.846,0.794,0.905,400.0
3,0.94,0.919,0.963,400.0
4,0.852,0.898,0.81,400.0
class,f1_score,precision,recall,support
1,0.913,0.951,0.877,400.0
2,0.887,0.844,0.935,400.0
3,0.938,0.931,0.945,400.0
4,0.903,0.924,0.882,400.0
class,f1_score,precision,recall,support
1,0.916,0.935,0.897,400.0
2,0.886,0.87,0.902,400.0
3,0.947,0.912,0.985,400.0
4,0.902,0.94,0.868,400.0
class,f1_score,precision,recall,support
1,0.872,0.945,0.81,400.0
2,0.859,0.811,0.912,400.0
3,0.929,0.871,0.995,400.0
4,0.856,0.917,0.802,400.0
class,f1_score,precision,recall,support
1,0.916,0.944,0.89,400.0
2,0.895,0.872,0.92,400.0
3,0.949,0.916,0.985,400.0
4,0.905,0.941,0.873,400.0
class,f1_score,precision,recall,support
1,0.845,0.883,0.81,400.0
2,0.812,0.756,0.877,400.0
3,0.938,0.916,0.96,400.0
4,0.821,0.88,0.77,400.0
class,f1_score,precision,recall,support
1,0.906,0.953,0.863,400.0
2,0.904,0.883,0.925,400.0
3,0.964,0.934,0.995,400.0
4,0.9,0.908,0.892,400.0
class,f1_score,precision,recall,support
1,0.894,0.935,0.856,4000.0
2,0.872,0.837,0.911,4000.0
3,0.943,0.909,0.98,4000.0
4,0.878,0.916,0.842,4000.0
